Criterion,CO,Max Marks,Level,Level Marks,Descriptor
Testing & Validation,CO5,5,Level 5,5,Executes exceptional testing with complete and accurate validation
Testing & Validation,CO5,5,Level 4,4,Performs thorough testing with reliable validation
Testing & Validation,CO5,5,Level 3,3,Conducts effective testing with minor limitations
Testing & Validation,CO5,5,Level 2,2,Applies basic testing with partial validation
Testing & Validation,CO5,5,Level 1,1,Shows limited testing with insufficient validation
Results Interpretation & Reporting,CO5,5,Level 5,5,Presents outstanding evaluation with comprehensive and clear reporting
Results Interpretation & Reporting,CO5,5,Level 4,4,Provides detailed evaluation with clear reporting
Results Interpretation & Reporting,CO5,5,Level 3,3,Demonstrates good evaluation with minor gaps
Results Interpretation & Reporting,CO5,5,Level 2,2,Illustrates basic evaluation with limited reporting
Results Interpretation & Reporting,CO5,5,Level 1,1,Displays weak analysis with inadequate reporting
System Demonstration & Functionality,CO6,5,Level 5,5,Showcases excellent demonstration with flawless functionality
System Demonstration & Functionality,CO6,5,Level 4,4,Exhibits complete demonstration with seamless functionality
System Demonstration & Functionality,CO6,5,Level 3,3,Demonstrates effective functionality with minor issues
System Demonstration & Functionality,CO6,5,Level 2,2,Reveals partial demonstration with limited functionality
System Demonstration & Functionality,CO6,5,Level 1,1,Indicates incomplete demonstration with significant issues
Project Significance & Future Scope,CO6,5,Level 5,5,Establishes exceptional impact assessment with innovative future scope
Project Significance & Future Scope,CO6,5,Level 4,4,Highlights strong impact assessment with clear future scope
Project Significance & Future Scope,CO6,5,Level 3,3,Explains good impact evaluation with minor gaps
Project Significance & Future Scope,CO6,5,Level 2,2,Discusses basic impact with limited future scope
Project Significance & Future Scope,CO6,5,Level 1,1,Mentions minimal impact evaluation and future scope
